"names" "values"
"117" "STE2r_n_GPA1_S199" 1.335593
"118" "STE2r_k_GPA1_S199" 0.892409
"119" "tau_GPA1_S199" 0.02450264
"120" "STE7_n_FUS3_T180" 1
"121" "STE7_k_FUS3_T180" 0.1037033
"122" "tau_FUS3_T180" 0.3243366
"123" "HOG1_T174~Y176_n_HOT1_S153" 4.999999
"124" "HOG1_T174~Y176_k_HOT1_S153" 0.1001014
"125" "HOG1_T174-Y176_n_HOT1_S153" 1.231857
"126" "HOG1_T174-Y176_k_HOT1_S153" 0.1000184
"127" "tau_HOT1_S153" 0.02482599
"128" "STE7_n_FUS3_S177-T180~Y182" 1.285918
"129" "STE7_k_FUS3_S177-T180~Y182" 0.1926871
"130" "tau_FUS3_S177-T180~Y182" 8.589916
"131" "y-STE18_n_b-STE4" 5
"132" "y-STE18_k_b-STE4" 0.2865852
"133" "tau_b-STE4" 10
"134" "SHO1_n_STE20_S196~T197" 4.998862
"135" "SHO1_k_STE20_S196~T197" 0.8999992
"136" "b-STE4_n_STE20_S196~T197" 4.999876
"137" "b-STE4_k_STE20_S196~T197" 0.3473874
"138" "tau_STE20_S196~T197" 0.05029243
"139" "STEcomplex_n_PBS2_S68" 1.004908
"140" "STEcomplex_k_PBS2_S68" 0.6963357
"141" "tau_PBS2_S68" 0.01000036
"142" "b-STE4_n_STE20_T573" 4.999921
"143" "b-STE4_k_STE20_T573" 0.2714873
"144" "tau_STE20_T573" 0.1674305
"145" "GPA1_S199_n_y-STE18" 2.109786
"146" "GPA1_S199_k_y-STE18" 0.9
"147" "tau_y-STE18" 6.299148
"148" "STE5_n_STE7" 1
"149" "STE5_k_STE7" 0.9
"150" "tau_STE7" 0.0134048
"151" "STEcomplex_n_PBS2_S248" 5
"152" "STEcomplex_k_PBS2_S248" 0.200711
"153" "SSK2_S53-S54~S57_n_PBS2_S248" 2.190995
"154" "SSK2_S53-S54~S57_k_PBS2_S248" 0.8999992
"155" "tau_PBS2_S248" 0.4902778
"156" "STEcomplex_n_STE5" 4.999999
"157" "STEcomplex_k_STE5" 0.8946521
"158" "b-STE4_n_STE5" 1
"159" "b-STE4_k_STE5" 0.7160747
"160" "tau_STE5" 0.01000003
"161" "NBP2_n_PTC1" 1.000252
"162" "NBP2_k_PTC1" 0.9
"163" "tau_PTC1" 9.90047
"164" "SSK2_S53-S54~S57_n_PBS2_S269" 4.135174
"165" "SSK2_S53-S54~S57_k_PBS2_S269" 0.6760355
"166" "tau_PBS2_S269" 0.2783468
"167" "FUS3_T180_n_DIG1_S272~T277~S279" 4.999997
"168" "FUS3_T180_k_DIG1_S272~T277~S279" 0.1171537
"169" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 1.6087
"170" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.8999672
"171" "tau_DIG1_S272~T277~S279" 1.388056
"172" "STE20_S192_n_STE11_S326" 4.999999
"173" "STE20_S192_k_STE11_S326" 0.9
"174" "STE20_T511_n_STE11_S326" 5
"175" "STE20_T511_k_STE11_S326" 0.8999874
"176" "STE20_T203~T207_n_STE11_S326" 4.999995
"177" "STE20_T203~T207_k_STE11_S326" 0.3863187
"178" "STE20_S195_n_STE11_S326" 4.99984
"179" "STE20_S195_k_STE11_S326" 0.9
"180" "STE20_T170~T172_n_STE11_S326" 5
"181" "STE20_T170~T172_k_STE11_S326" 0.9
"182" "STE20_S196~T197_n_STE11_S326" 1.000242
"183" "STE20_S196~T197_k_STE11_S326" 0.8999817
"184" "STE20_T573_n_STE11_S326" 5
"185" "STE20_T573_k_STE11_S326" 0.8999956
"186" "tau_STE11_S326" 0.02668642
"187" "STE20_S192_n_STE50_S202" 1.000027
"188" "STE20_S192_k_STE50_S202" 0.1
"189" "STE20_T511_n_STE50_S202" 4.99999
"190" "STE20_T511_k_STE50_S202" 0.9
"191" "STE20_T203~T207_n_STE50_S202" 1.000001
"192" "STE20_T203~T207_k_STE50_S202" 0.1
"193" "STE20_S195_n_STE50_S202" 4.999824
"194" "STE20_S195_k_STE50_S202" 0.8999989
"195" "STE20_T170~T172_n_STE50_S202" 1
"196" "STE20_T170~T172_k_STE50_S202" 0.8998974
"197" "STE20_S196~T197_n_STE50_S202" 4.988283
"198" "STE20_S196~T197_k_STE50_S202" 0.8999999
