"names" "values"
"118" "tau_PBS2_S248" 0.6681826
"119" "STEcomplex_n_STE5" 1.137939
"120" "STEcomplex_k_STE5" 0.5159449
"121" "b-STE4_n_STE5" 4.999997
"122" "b-STE4_k_STE5" 0.8999995
"123" "tau_STE5" 0.1877907
"124" "NBP2_n_PTC1" 3.275951
"125" "NBP2_k_PTC1" 0.1488292
"126" "tau_PTC1" 0.09572988
"127" "SSK2_S53-S54~S57_n_PBS2_S269" 2.674789
"128" "SSK2_S53-S54~S57_k_PBS2_S269" 0.8476691
"129" "tau_PBS2_S269" 8.913167
"130" "FUS3_T180_n_DIG1_S272~T277~S279" 2.439769
"131" "FUS3_T180_k_DIG1_S272~T277~S279" 0.8999985
"132" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 4.999864
"133" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.1000002
"134" "tau_DIG1_S272~T277~S279" 0.8992776
"135" "STE20_T511_n_STE11_S326" 4.999978
"136" "STE20_T511_k_STE11_S326" 0.1
"137" "tau_STE11_S326" 0.01584297
"138" "STE20_T511_n_STE50_S202" 5
"139" "STE20_T511_k_STE50_S202" 0.1
"140" "tau_STE50_S202" 0.02836589
"141" "DIG2_S225_n_STE12_S400" 4.999999
"142" "DIG2_S225_k_STE12_S400" 0.5714988
"143" "DIG1_S395_n_STE12_S400" 4.999986
"144" "DIG1_S395_k_STE12_S400" 0.4544388
"145" "DIG1_S126-S127_n_STE12_S400" 4.999934
"146" "DIG1_S126-S127_k_STE12_S400" 0.1000145
"147" "DIG1_S272_n_STE12_S400" 5
"148" "DIG1_S272_k_STE12_S400" 0.1000961
"149" "FUS3_T180_n_STE12_S400" 5
"150" "FUS3_T180_k_STE12_S400" 0.8999993
"151" "FUS3_S177-T180~Y182_n_STE12_S400" 4.999998
"152" "FUS3_S177-T180~Y182_k_STE12_S400" 0.8999994
"153" "DIG1_S272~T277~S279_n_STE12_S400" 5
"154" "DIG1_S272~T277~S279_k_STE12_S400" 0.1000311
"155" "tau_STE12_S400" 0.1062674
"156" "HOG1_T174-Y176_n_SKO1_T215" 4.99998
"157" "HOG1_T174-Y176_k_SKO1_T215" 0.8999986
"158" "HOG1_T174~Y176_n_SKO1_T215" 4.999994
"159" "HOG1_T174~Y176_k_SKO1_T215" 0.5945251
"160" "tau_SKO1_T215" 5.838854
"161" "HOG1_T174-Y176_n_SKO1_S94~S108~T113" 4.999667
"162" "HOG1_T174-Y176_k_SKO1_S94~S108~T113" 0.8999885
"163" "HOG1_T174~Y176_n_SKO1_S94~S108~T113" 4.999998
"164" "HOG1_T174~Y176_k_SKO1_S94~S108~T113" 0.1000041
"165" "tau_SKO1_S94~S108~T113" 0.09876258
"166" "HOT1_S153_n_GPD1_S24~S27" 4.999977
"167" "HOT1_S153_k_GPD1_S24~S27" 0.734194
"168" "tau_GPD1_S24~S27" 0.2551455
